#   pt       r            w            d(ln(w))/dr
   454   0.1359E+02   0.1077E-25  -0.7927E+01
   455   0.1362E+02   0.8490E-26  -0.7945E+01
   456   0.1365E+02   0.6688E-26  -0.7962E+01
   457   0.1368E+02   0.5265E-26  -0.7980E+01
   458   0.1371E+02   0.4143E-26  -0.7997E+01
   459   0.1374E+02   0.3259E-26  -0.8015E+01
   460   0.1377E+02   0.2561E-26  -0.8032E+01
   461   0.1380E+02   0.2012E-26  -0.8050E+01
   462   0.1383E+02   0.1580E-26  -0.8067E+01
   463   0.1386E+02   0.1240E-26  -0.8085E+01
   464   0.1389E+02   0.9729E-27  -0.8102E+01
   465   0.1392E+02   0.7627E-27  -0.8120E+01
   466   0.1395E+02   0.5977E-27  -0.8137E+01
   467   0.1398E+02   0.4681E-27  -0.8155E+01
   468   0.1401E+02   0.3664E-27  -0.8172E+01
   469   0.1404E+02   0.2867E-27  -0.8190E+01
   470   0.1407E+02   0.2242E-27  -0.8207E+01
   471   0.1410E+02   0.1752E-27  -0.8225E+01
   472   0.1413E+02   0.1368E-27  -0.8242E+01
   473   0.1416E+02   0.1068E-27  -0.8260E+01
   474   0.1419E+02   0.8337E-28  -0.8277E+01
   475   0.1422E+02   0.6502E-28  -0.8295E+01
   476   0.1425E+02   0.5068E-28  -0.8312E+01
   477   0.1428E+02   0.3949E-28  -0.8330E+01
   478   0.1431E+02   0.3075E-28  -0.8347E+01
   479   0.1434E+02   0.2393E-28  -0.8365E+01
   480   0.1437E+02   0.1861E-28  -0.8382E+01
   481   0.1440E+02   0.1447E-28  -0.8400E+01
   482   0.1443E+02   0.1124E-28  -0.8417E+01
   483   0.1446E+02   0.8733E-29  -0.8435E+01
   484   0.1449E+02   0.6779E-29  -0.8452E+01
   485   0.1452E+02   0.5259E-29  -0.8470E+01
   486   0.1455E+02   0.4078E-29  -0.8487E+01
   487   0.1458E+02   0.3161E-29  -0.8505E+01
   488   0.1461E+02   0.2448E-29  -0.8522E+01
   489   0.1464E+02   0.1895E-29  -0.8540E+01
   490   0.1467E+02   0.1467E-29  -0.8557E+01
   491   0.1470E+02   0.1134E-29  -0.8575E+01
   492   0.1473E+02   0.8767E-30  -0.8592E+01
   493   0.1476E+02   0.6773E-30  -0.8610E+01
   494   0.1479E+02   0.5230E-30  -0.8627E+01
   495   0.1482E+02   0.4036E-30  -0.8645E+01
